Day,Henry Hub Natural Gas Spot Price Dollars per Million Btu
7/1/1997,3.45
3/2/1997,2.15
3/3/1997,1.89
1/4/1997,2.03
1/5/1997,2.25
2/6/1997,2.20
1/7/1997,2.19
1/8/1997,2.49
2/9/1997,2.88
1/10/1997,3.07
3/11/1997,3.01
1/12/1997,2.35
2/1/1998,2.09
2/2/1998,2.23
2/3/1998,2.24
1/4/1998,2.43
1/5/1998,2.14
1/6/1998,2.17
1/7/1998,2.17
3/8/1998,1.85
1/9/1998,2.02
1/10/1998,1.91
2/11/1998,2.12
1/12/1998,1.72
4/1/1999,1.85
1/2/1999,1.77
1/3/1999,1.79
1/4/1999,2.15
3/5/1999,2.26
1/6/1999,2.30
1/7/1999,2.31
2/8/1999,2.79
1/9/1999,2.55
1/10/1999,2.73
1/11/1999,2.37
1/12/1999,2.36
4/1/2000,2.42
1/2/2000,2.66
1/3/2000,2.79
3/4/2000,3.04
1/5/2000,3.59
1/6/2000,4.29
3/7/2000,3.99
1/8/2000,4.43
1/9/2000,5.06
2/10/2000,5.02
1/11/2000,5.52
1/12/2000,8.90
2/1/2001,8.17
1/2/2001,5.61
1/3/2001,5.23
2/4/2001,5.19
1/5/2001,4.19
1/6/2001,3.72
2/7/2001,3.11
1/8/2001,2.97
4/9/2001,2.19
1/10/2001,2.46
1/11/2001,2.34
3/12/2001,2.30
2/1/2002,2.32
1/2/2002,2.32
1/3/2002,3.03
1/4/2002,3.43
1/5/2002,3.50
3/6/2002,3.26
1/7/2002,2.99
1/8/2002,3.09
3/9/2002,3.55
1/10/2002,4.13
1/11/2002,4.04
2/12/2002,4.74
2/1/2003,5.43
3/2/2003,7.71
3/3/2003,5.93
1/4/2003,5.26
1/5/2003,5.81
2/6/2003,5.82
1/7/2003,5.03
1/8/2003,4.98
2/9/2003,4.62
1/10/2003,4.63
3/11/2003,4.47
1/12/2003,6.13
5/1/2004,6.14
2/2/2004,5.37
1/3/2004,5.39
1/4/2004,5.71
3/5/2004,6.33
1/6/2004,6.27
1/7/2004,5.93
2/8/2004,5.41
1/9/2004,5.15
1/10/2004,6.35
1/11/2004,6.17
1/12/2004,6.58
3/1/2005,6.15
1/2/2005,6.14
1/3/2005,6.96
1/4/2005,7.16
2/5/2005,6.47
1/6/2005,7.18
1/7/2005,7.63
1/8/2005,9.53
1/9/2005,11.75
7/10/2005,13.42
1/11/2005,10.30
1/12/2005,13.05
3/1/2006,8.69
1/2/2006,7.54
1/3/2006,6.89
3/4/2006,7.16
1/5/2006,6.25
1/6/2006,6.21
5/7/2006,6.17
1/8/2006,7.14
1/9/2006,4.90
2/10/2006,5.85
1/11/2006,7.40
1/12/2006,6.73
2/1/2007,6.55
1/2/2007,8.00
1/3/2007,7.11
2/4/2007,7.60
1/5/2007,7.64
1/6/2007,7.35
2/7/2007,6.22
1/8/2007,6.22
4/9/2007,6.08
1/10/2007,6.74
1/11/2007,7.10
3/12/2007,7.10
2/1/2008,7.99
1/2/2008,8.54
3/3/2008,9.41
1/4/2008,10.18
1/5/2008,11.27
2/6/2008,12.69
1/7/2008,11.09
1/8/2008,8.26
2/9/2008,7.67
1/10/2008,6.74
3/11/2008,6.68
1/12/2008,5.82
2/1/2009,5.24
2/2/2009,4.51
2/3/2009,3.96
1/4/2009,3.49
1/5/2009,3.83
1/6/2009,3.80
1/7/2009,3.38
3/8/2009,3.14
1/9/2009,2.99
1/10/2009,4.01
2/11/2009,3.66
1/12/2009,5.35
4/1/2010,5.83
1/2/2010,5.32
1/3/2010,4.29
1/4/2010,4.03
3/5/2010,4.14
1/6/2010,4.80
1/7/2010,4.63
2/8/2010,4.32
1/9/2010,3.89
1/10/2010,3.43
1/11/2010,3.71
1/12/2010,4.25
3/1/2011,4.49
1/2/2011,4.09
1/3/2011,3.97
1/4/2011,4.24
2/5/2011,4.31
1/6/2011,4.54
1/7/2011,4.42
1/8/2011,4.05
1/9/2011,3.90
3/10/2011,3.57
1/11/2011,3.24
1/12/2011,3.17
3/1/2012,2.67
1/2/2012,2.50
1/3/2012,2.17
2/4/2012,1.95
1/5/2012,2.43
1/6/2012,2.46
2/7/2012,2.95
1/8/2012,2.84
4/9/2012,2.85
1/10/2012,3.32
1/11/2012,3.54
3/12/2012,3.34
2/1/2013,3.33
1/2/2013,3.33
1/3/2013,3.81
1/4/2013,4.17
1/5/2013,4.04
3/6/2013,3.83
1/7/2013,3.62
1/8/2013,3.43
3/9/2013,3.62
1/10/2013,3.68
1/11/2013,3.64
2/12/2013,4.24
2/1/2014,4.71
3/2/2014,6.00
3/3/2014,4.90
1/4/2014,4.66
1/5/2014,4.58
2/6/2014,4.59
1/7/2014,4.05
1/8/2014,3.91
2/9/2014,3.92
1/10/2014,3.78
3/11/2014,4.12
1/12/2014,3.48
2/1/2015,2.99
2/2/2015,2.87
2/3/2015,2.83
1/4/2015,2.61
1/5/2015,2.85
1/6/2015,2.78
1/7/2015,2.84
3/8/2015,2.77
1/9/2015,2.66
1/10/2015,2.34
2/11/2015,2.09
1/12/2015,1.93
1/1/2016,2.28
1/2/2016,1.99
1/3/2016,1.73
1/4/2016,1.92
2/5/2016,1.92
1/6/2016,2.59
1/7/2016,2.82
1/8/2016,2.82
1/9/2016,2.99
3/10/2016,2.98
1/11/2016,2.55
1/12/2016,3.59
2/1/2017,3.30
1/2/2017,2.85
1/3/2017,2.88
3/4/2017,3.10
1/5/2017,3.15
1/6/2017,2.98
3/7/2017,2.98
1/8/2017,2.90
1/9/2017,2.98
2/10/2017,2.88
1/11/2017,3.01
1/12/2017,2.82
2/1/2018,3.88
1/2/2018,2.67
1/3/2018,2.69
2/4/2018,2.80
1/5/2018,2.80
1/6/2018,2.97
2/7/2018,2.83
1/8/2018,2.96
4/9/2018,3.00
1/10/2018,3.28
1/11/2018,4.09
3/12/2018,4.04
2/1/2019,3.11
1/2/2019,2.69
1/3/2019,2.95
1/4/2019,2.65
1/5/2019,2.64
3/6/2019,2.40
1/7/2019,2.37
1/8/2019,2.22
3/9/2019,2.56
1/10/2019,2.33
1/11/2019,2.64
2/12/2019,2.22
1/1/2020,2.02
3/2/2020,1.91
2/3/2020,1.85
